업종,제목,작성자,증권사,작성일
음식료,(삼양식품) 호면당 광화문점 폐점으로 사실상 외식사업 철수,김정욱,메리츠증권,2022-03-14
운송,"'백신접종 입국자 격리 면제'... 항공업계 ""국제선 수요 회복 기대""",배기연,메리츠증권,2022-03-14
통신,"삼성전자, 美 소외지역 5G 보급 앞장",정지수,메리츠증권,2022-03-14
석유화학,"미래형 운송수단 하이퍼루프, 기술 개발 재점화되다",정규진,SK증권,2022-03-11
기타,스텔란티스의 공격적인 EV 전략: STLA 플랫폼 + 배터리 투자 강화,윤혁진,SK증권,2022-03-11
음식료,(CJ제일제당) 창립 70년만에 노동조합 설립,김정욱,메리츠증권,2022-03-11
운송,"아시아나항공, 에어서울에 300억원 금전대여 결정",배기연,메리츠증권,2022-03-11
금융,‘50조’ 추경 편성 기대.....소상공인/자영업자 '새 시대' 열릴까,은경완,메리츠증권,2022-03-11
음식료,국내 대체식품 시장은 비건 트렌드와 함께 성장,박찬솔,SK증권,2022-03-10
기타,"데이터센터 투자, 지속적으로 성장한다",정규진,SK증권,2022-03-10
금융,'금융위 강화'로 감독체계 개편되나...피해구제 개선 주목,은경완,메리츠증권,2022-03-10
전기전자,"대표적인 원자재 주식, 저평가 매력 부각",김지산,키움증권,2022-03-08
기타,"中, 디지털 경제 발전에 속도낸다",정규진,SK증권,2022-03-08
바이오,노바백스의 코로나19 백신 EU 공급 시작,이달미,SK증권,2022-03-08
금융,"우리금융, 중간배당 기준일 6월 30일 명시",은경완,메리츠증권,2022-03-08
운송,"대한항공/아시아나, 러 모스크바 여객·화물기 2주간 운항 중단",배기연,메리츠증권,2022-03-08
음식료,(신세계푸드) 노브랜드 피자 매장 대치동에 1호점 오픈,김정욱,메리츠증권,2022-03-08
자동차,"현대차, 러 공장 재가동 불발... ""재개 시점 미정""",김준성,메리츠증권,2022-03-08
운송,이달 중순부터 접종완료 해외입국자도 격리 면제될 듯,배기연,메리츠증권,2022-03-07
금융,은행 대규모 손실 대비 '거액 익스포저 규제' 재연장,은경완,메리츠증권,2022-03-07
통신,"KT, 터키 1위 통신사와 DX 사업개발 제휴 파트너십 체결",정지수,메리츠증권,2022-03-07
자동차,우크라 네온 공장 스톱...완성차 '반도체 수급' 초비상,김준성,메리츠증권,2022-03-07
자동차,"디지털트윈 시장, 성장 지속한다",정규진,SK증권,2022-03-07
조선,LNG Update,유승우,SK증권,2022-03-07
기타,우크라이나 전쟁으로 부각되는 우주 인프라의 중요성,나승두,SK증권,2022-03-07
철강금속,구리 신고가 경신 등 비철가격 급등,이종형,키움증권,2022-03-07
음식료,"'국,탕,찌개' HMR도 오른다...원재료값 급등에 도미노 인상",박상준,키움증권,2022-03-07
철강금속,러시아가 불러온 비철가격 급등,이종형,키움증권,2022-03-07
자동차,현대 / 기아차 Investor Day: 업그레이드된 EV전략과 차세대 계획,윤혁진,SK증권,2022-03-04
음식료,쿠팡 22년 실적 가이던스의 시사점,박상준,키움증권,2022-03-04
자동차,현대차/기아 CEO Investor Day 후기,김민선,키움증권,2022-03-04
바이오,ADC 기술이전 활발. M&A 모멘텀 부재,허혜민,키움증권,2022-03-04
금융,"러시아, 7개 은행 스위프트 퇴출에... 국내 은행 송금 사실상 중단",은경완,메리츠증권,2022-03-04
자동차,"기아, 2026년 시총 100조 선언...전동화/PBV 사업 속도",김준성,메리츠증권,2022-03-04
음식료,"(요구르트) 빙그레, 남양유업 요구르트 가격 5-7% 인상",김정욱,메리츠증권,2022-03-04
운송,"택배노조, CJ대한통운 대리점연합 합의안 가결...""국민께 사과""",배기연,메리츠증권,2022-03-04
전기전자,1월 시장 동향 및 이슈 점검,김지산,키움증권,2022-03-03
석유화학,기대 이상의 유가,박한샘,SK증권,2022-03-03
자동차,현대자동차 CEO Investor day - 방향성은 제시되었지만...,권순우,SK증권,2022-03-03
금융,파월 “2주 뒤 기준금리 0.25%P 인상할 것...우크라 사태는 게임체인저”,은경완,메리츠증권,2022-03-03
음식료,(신세계푸드) 제이릴라 IP 사업 본격화,김정욱,메리츠증권,2022-03-03
음식료,(오비맥주) 맥주 출고가 평균 7.7% 인상,김정욱,메리츠증권,2022-03-03
운송,닫히는 러시아 하늘길... 항공업계 '초비상',배기연,메리츠증권,2022-03-03
자동차,"현대차 아이오닉6, 유럽 최북단서 막판 담금질...극한 테스트",김준성,메리츠증권,2022-03-03
자동차,"현대차, 2월 미국 시장서 소매판매 사상최다...기아차도 2.3% ↑",김준성,메리츠증권,2022-03-03
금융,2022년 개인사업자대출 평가와 전망,서영수,키움증권,2022-03-02
금융,"고승범 ""만기연장 추가 연장...부채문제도 관심 가질 시점""",은경완,메리츠증권,2022-03-02
자동차,중국 3대 전기차 스타트업의 테슬라 추격 가속화된다,정규진,SK증권,2022-02-28
조선,LNG Update,유승우,SK증권,2022-02-28
기타,"러시아와 우크라이나의 전쟁, 유럽 그린수소 시장 자극할까",나승두,SK증권,2022-02-28
기타,식품업계에서 고민하는 ESG 이슈,박찬솔,SK증권,2022-02-28
자동차,"현대차/기아, 우크라이나 침공에 러시아 시장 고민",김준성,메리츠증권,2022-02-28
음식료,(CJ제일제당) 케이셀 바이오사이언스와 세포배양배지 사업 MOU체결,김정욱,메리츠증권,2022-02-28
운송,"항공유 56% 널뛰기...항공업계, 비상 플랜 가동",배기연,메리츠증권,2022-02-28
금융,5대은행 가계대출 2개월 연속 감소...예/적금 12조원 증가,은경완,메리츠증권,2022-02-28
통신,"SKT-삼성전자, 속도/품질 높인 5G 단독모드 공개",정지수,메리츠증권,2022-02-28
금융,"한국은행, 기준금리 연 1.25%로 동결",은경완,메리츠증권,2022-02-25
운송,정점 찍고 하락한 항공 운임·물동량 본격 감소...“특수 저무나”,배기연,메리츠증권,2022-02-25
자동차,"SW가 지배하는 車로...현대차, 전담조직 신설",김준성,메리츠증권,2022-02-25
음식료,"(물가) 한은 기준금리 1.25% 동결, 연간 3%대 초반 물가 상승률 전망",김정욱,메리츠증권,2022-02-25
금융,오늘 한은 기준금리 동결 가능성 ...인플레 우려에 인상 전망도 나와,은경완,메리츠증권,2022-02-24
음식료,"(농심) 스낵 출고 가격 평균 6% 인상, 3년 4개월 만의 인상",김정욱,메리츠증권,2022-02-24
자동차,"현대차, 러-우크라 전운에 '실적 발목' 우려",김준성,메리츠증권,2022-02-24
운송,"삼성중공업, 올해 첫 수주...9,985억원 규모 LNG운반선 4척 계약",배기연,메리츠증권,2022-02-24
자동차,최태원도 구광모도...재계총수는 지금 'AI 딥러닝' 중,김준성,메리츠증권,2022-02-23
음식료,(라면) 2020년 국내 식품 생산량 1위 라면 선정,김정욱,메리츠증권,2022-02-23
운송,"공정위, 대한항공/아시아나 합병 '조건부 승인'...알짜 노선 내놔야",배기연,메리츠증권,2022-02-23
금융,지난해 가계빚 134조 늘어... 증가폭 역대 두번째,은경완,메리츠증권,2022-02-23
디스플레이,2 월 하반월 LCD 패널가,김선우,메리츠증권,2022-02-23
자동차,전기차 천만대 시대 눈앞…현대차？기아 전동화 목표 상향하나,김준성,메리츠증권,2022-02-23
음식료,"(외식물가) 정부, 배달앱별 배달 수수료 공개 통해 가격 경쟁 유도, 물가잡기 총력전",김정욱,메리츠증권,2022-02-23
운송,"아시아나항공, 사이판 노선 탑승률 94%...트래블버블 효과",배기연,메리츠증권,2022-02-23
음식료,"""두부값도 오른다""...'풀무원,CJ제일제당,대상' 가격 일제히 인상",박상준,키움증권,2022-02-21
철강금속,철광석 급락에 철강가격 상승세 주춤,이종형,키움증권,2022-02-21
게임,2022 년 Play to Earn(P2E) 플랫폼 관련주 주목,이소중,SK증권,2022-02-21
기타,"구글 개인정보 보호정책 발표, 모바일 광고시장 지각변동 예상된다",정규진,SK증권,2022-02-21
음식료,"(빙과) 롯데제과, 롯데푸드 빙과 사업 부문 합병안 검토 추진",김정욱,메리츠증권,2022-02-21
음식료,(외식가격공표제) 기획재정부 23일부터 주요 외식 품목 가격과 등락률 매주 공표,김정욱,메리츠증권,2022-02-21
자동차,"""車 색상까지 뺀다""... 현대차,반도체난 속 생산 최적화 '안간힘'",김준성,메리츠증권,2022-02-21
통신,"SKT, K-UAM 컨소시엄 참여 공식화...""기술 실증 선도""",정지수,메리츠증권,2022-02-21
금융,세차례 연속 금리 인상? 속도 조절?... 고심 깊은 한은,은경완,메리츠증권,2022-02-21
운송,영국 완전한 위드코로나...확진자도 자가격리 폐지한다,배기연,메리츠증권,2022-02-21
은행,섹터별 매력도 : 은행 손해보험 >> 증권 > 생명보험,박혜진,교보증권,2022-02-18
반도체,가격 안정화. 그러나 지속성은?,"남대종,",김광수,2022-02-18
전기전자,"현대· 기아차의전기차전략: E-GMP+소재, 기술내재화",박형렬,SK증권,2022-02-18
건설,"美 연준, 3월 빅스텝 가능성 잦아드나",은경완,메리츠증권,2022-02-18
금융,금융안정위험 얼마나 상승할까?,리서치센터,키움증권,2022-02-17
음식료,(남양유업) 즉석커피 가격 7-9% 인상,김정욱,메리츠증권,2022-02-17
자동차,현대차그룹 엇갈린 희비...美 사상 최대 실적/ 中 연이은 추락,김준성,메리츠증권,2022-02-17
운송,"일본, 해외 입국자 격리기간 7일→ 3일 줄일 듯",배기연,메리츠증권,2022-02-17
금융,"주담대 6%인데 '하늘의 별 따기'된 적격대출, 줄줄이 한도 소진",은경완,메리츠증권,2022-02-17
금융,16일부터 은행 주담대 금리 0.05%P 내린다,은경완,메리츠증권,2022-02-16
운송,"푸틴 ""전쟁 원하지 않아""...숄츠 ""러시아군 철수는 좋은 신호""",배기연,메리츠증권,2022-02-16
음식료,(해태) 스테디셀러 바밤바 이물질 검출 논란,김정욱,메리츠증권,2022-02-16
자동차,일상 된 '마이너스 옵션' 신차...올 들어 도요타/포드/현대차 공장 멈춰,김준성,메리츠증권,2022-02-16
전기전자,대만 Tech 1 월 - 가격 인상 효과,이동주,SK증권,2022-02-15
기타,"정부, 클라우드 사업 지원 확대한다",정규진,SK증권,2022-02-15
유틸리티,공급망 이슈: 풍력 터빈사들의 생각은?,문경원,메리츠증권,2022-02-15
운송,"미국, 코로나 이유 '한국 여행금지' 권고...여행경보 최고단계 상향",배기연,메리츠증권,2022-02-15
음식료,(롯데칠성) 클라우드 칠성사이다 맥주 출시,김정욱,메리츠증권,2022-02-15
자동차,전기차 보급 늦춰지나... 2030년까지 리튬 22만t 부족 전망,김준성,메리츠증권,2022-02-15
금융,"가계대출 여력 10조 줄인 5대銀, 올해 기업대출 42조 늘린다",은경완,메리츠증권,2022-02-15
전기전자,MLCC 업황 업데이트,백길현,유안타증권,2022-02-14
금융,혹시 모를 위기에도 철저히 대비 [2월 monthly],정태준,유안타증권,2022-02-14
자동차,"현대차그룹, 토요타/GM 제치고 세계 최고 내구 품질...새로운 제왕 등극한 기아",김준성,메리츠증권,2022-02-14
통신,5G 주파수 추가할당 의견서 마감...이통사별 입장차 뚜렷,정지수,메리츠증권,2022-02-14
금융,자영업자 대출 2년 새 48.7조원↑... 가계대출 앞질러,은경완,메리츠증권,2022-02-14
운송,"제주항공, 국내 LCC 최초로 화물 전용기 도입",배기연,메리츠증권,2022-02-14
음식료,"(주류) 주정 가격 평균 7.8% 인상, 2012년 이후 10년만, 소주 가격 인상 전망",김정욱,메리츠증권,2022-02-14
음식료,"(외식) 식당 선정 시, 청결과 위생 2위 순위 고려, 코로나 전 4위에서 두 단계 상승",김정욱,메리츠증권,2022-02-14
철강금속,중국 철강가격 상승폭 확대,이종형,키움증권,2022-02-14
전기전자,4분기 실적 발표 시사점,김지산,키움증권,2022-02-14
음식료,소줏값 인상 코앞...주정/병뚜껑/빈병 취급수수료 다 올랐다,박상준,키움증권,2022-02-14
항공,우주 산업 성장 이끌 미국과 중국의 경쟁,나승두,SK증권,2022-02-14
조선,LNG Update,유승우,SK증권,2022-02-14
금융,"중국, ‘현금 없는 사회’에 본격 진입한다",정규진,SK증권,2022-02-14
자동차,전기차 시장을 노리는 IT 업계,이동주,SK증권,2022-02-14
자동차,전기차 충전기업 투자로 ESG 매력 더욱 부각되는 SK네트웍스,유승우,SK증권,2022-02-11
전기전자,Ford의 전기차 전략: 생산 Capa 증설 + 배터리 내재화,운혁진,SK증권,2022-02-11
철강금속,SK 화학/철강 금요차트,박한샘,SK증권,2022-02-11
음식료,(밀키트) 식탁 물가 상승으로 밀키트 가격 측면 가성비 부각,김정욱,메리츠증권,2022-02-11
운송,티웨이항공 ″중장거리 운항 위한 대형기 도입 준비 순항″,배기연,메리츠증권,2022-02-11
자동차,"현대차, 반도체난에 임원 美 급파...업계 ""3분기 해결 불투명""",김준성,메리츠증권,2022-02-11
금융,사그라진 ‘빚투’...은행 가계대출 첫 두달 연속 감소,은경완,메리츠증권,2022-02-11
금융,"카카오뱅크 ""2월 중 주담대 출시..하반기엔 개인사업자대출""",은경완,메리츠증권,2022-02-10
자동차,"현대차/기아, 美 리콜 대상 차종 국내서도 곧 리콜",김준성,메리츠증권,2022-02-10
운송,"싱가포르, 대한항공-아시아나 합병 승인",배기연,메리츠증권,2022-02-10
음식료,"(펫푸드) 국내 펫푸드 제품, 프리미엄 사료 중심으로 해외시장 고성장 중",김정욱,메리츠증권,2022-02-10
기타,4Q21 실적 발표와 함께 신작들과 블록체인 사업 관심 다시 높아질 것,이소중,SK증권,2022-02-09
전기전자,2021년 전기차 및 배터리 시장 결산,김지산,키움증권,2022-02-09
금융,"하나금융 이사회, 차기 회장 후보에 함영주 부회장 단독 추천",은경완,메리츠증권,2022-02-09
음식료,"(신세계푸드) 제이릴라 도용한 디지털 작품 NFT 거래소에 판매, 삭제 요청",김정욱,메리츠증권,2022-02-09
운송,"미국, EU 이어 日과 철강분쟁 타결...한국과는 협상 시작도 안돼",배기연,메리츠증권,2022-02-09
자동차,"현대/기아차, 미국서 48만여대 리콜 ""ABS 누전 가능성""",김준성,메리츠증권,2022-02-09
기타,"SET와 부품의 괴리, 제자리를 찾아가는 과정",이동주,SK증권,2022-02-08
바이오,화이자 오미크론 변이에 대한 백신 임상 돌입,이달미,SK증권,2022-02-08
기타,"스윙, 글로벌 모빌리티사로 도약한다",정규진,SK증권,2022-02-08
항공,각자도생,배기연,메리츠증권,2022-02-08
음식료,"(주류) 주정 가격 평균 7.8% 인상, 2012년 이후 10년만, 소주 가격 인상 전망",김정욱,메리츠증권,2022-02-08
운송,"영국, 입국 시 백신접종자에 대한 코로나19 검사 폐지",배기연,메리츠증권,2022-02-08
금융,글로벌 중앙은행 4월까지 금리인상 릴레이 셈법 복잡해진 한은,은경완,메리츠증권,2022-02-08
자동차,남아시아 화약고' 건드린 현대차.....인도서 불매운동 악재 만나나,김준성,메리츠증권,2022-02-08
조선,LNG Update,유승우,SK증권,2022-02-07
증권,업황 부진에는 자사주 매입으로 [2월 monthly],정태준,유안타증권,2022-02-07
통신,"KT의 AI/DX부문 분사, 상반기 중 추진 전망",최남곤,유안타증권,2022-02-07
철강금속,"중국 휴장, 글로벌 철강사 주가 강세",이종형,키움증권,2022-02-07
음식료,"잘나가는 컵밥/밀키트, 즉석조리식품 시장 확 커졌다",박상준,키움증권,2022-02-07
음식료,"(물가) 세계식량가격지수 135.7 기록, 2011년 이후 최고치",김정욱,메리츠증권,2022-02-07
운송,"호주 총리 ""해외여행객에 곧 국경 개방""",배기연,메리츠증권,2022-02-07
음식료,(SPC삼립) 파리바게뜨 66개 품목 평균 가격 6.7% 인상,김정욱,메리츠증권,2022-02-07
통신,"임혜숙 장관, 17일 이통 3사 CEO 만난다",정지수,메리츠증권,2022-02-07
금융,"카카오뱅크, 보호예수 해제에 추가 하락 우려",은경완,메리츠증권,2022-02-07
자동차,"배터리 가격 상승세, 전기차 보급 확대 제동 거나",김준성,메리츠증권,2022-02-07
바이오,1월호. AI 신약발굴과 함께 시작하는 2022년,"허혜민,",신민수,2022-02-04
증권,증시 및 주변자금흐름 점검,전배승,이베스트투자증권,2022-02-04
게임,"한국 게임, 다시 성장기",이지은,대신증권,2022-02-04
미디어,미디어 4Q21 Preview,이현지,유진투자증권,2022-02-04
철강금속,중국 열연 4주째 상승 지속,이종형,키움증권,2022-02-03
음식료,BTS가 즐기는 힙한 소스 한류 열풍에 고추장 수출액 4년새 63%↑,박상준,키움증권,2022-02-03
전기전자,2021년 스마트폰 시장 결산,김지산,키움증권,2022-02-03
음식료,(SPC삼립) 파리바게뜨 66개 품목 평균 가격 6.7% 인상,김정욱,메리츠증권,2022-02-03
운송,"인도네시아, 2월 내수 공급의무 지킨 업체만 석탄 수출 허용",배기연,메리츠증권,2022-02-03
통신,"논란의 5G 주파수 할당, ‘잠시 멈춤’",정지수,메리츠증권,2022-02-03
금융,"조건 좋을 때 짐싸자...4대 시중은행, 1월에만 1800명 희망퇴직",은경완,메리츠증권,2022-02-03
자동차,"현대차/기아, 美시장 1월 판매 역대 최다...친환경차 판매 3배로",김준성,메리츠증권,2022-02-03
전기전자,중국의 Battery Recycling 투자,윤혁진,SK증권,2022-01-28
자동차,GM의 Ultium과 전기차 사업 전략,윤혁진,SK증권,2022-01-28
기타,"블랙록, 미 SEC에 블록체인 기술 ETF 신청했다",정규진,SK증권,2022-01-28
건설,"서울 아파트값, 87주 만에 하락 전환...전세도 보합",박형렬,메리츠증권,2022-01-28
음식료,"(원유) 낙농단체 정부 방침 반발, 원유 납품 중단 우려",김정욱,메리츠증권,2022-01-28
금융,"금융권, 대출 만기연장/상환유예 재연장 고심",은경완,메리츠증권,2022-01-28
자동차,작년 세계 전기차 판매량 450만대...두배 이상 급증,김준성,메리츠증권,2022-01-28
기타,"메타(Meta), 가장 빠른 AI 슈퍼컴퓨터 개발한다",정규진,SK증권,2022-01-27
미디어,바뀐 것. 그리고 바뀌지 않은 것,이효진,메리츠증권,2022-01-26
운송,"CJ대한통운 노조 파업 장기화속 사측 ""1천700명 인력 추가 투입""",배기연,메리츠증권,2022-01-26
음식료,"(가격) 빙그레, 해태아이스크림 주요 아이스크림 제품 가격 인상 검토 중",김정욱,메리츠증권,2022-01-26
자동차,"美 ""반도체 수급 악화로 재고 5일치 안돼... 비정상적 가격도 조사""",김준성,메리츠증권,2022-01-26
석유화학,"Top 2 EV배터리기업, CATL-LG에너지솔루션",노우호,메리츠증권,2022-01-26
건설,오세훈 '상생주택' 1호 사업...이마트 상봉점 자리에 들어선다,박형렬,메리츠증권,2022-01-26
금융,4대금융 작년 '역대 최대' 14.5조 벌었다... 올해 충당금이 관건,은경완,메리츠증권,2022-01-26
자동차,성장성이 큰 미국 시장 진출 가속화,이동욱,키움증권,2022-01-26
게임,게임 업계 역대 최대 규모 M&A 소식으로 투자심리 개선,리서치센터,SK증권,2022-01-26
기타,"인도 OTT 산업, 확장세 지속한다",정규진,SK증권,2022-01-26
통신,방어주의 자격,정지수,메리츠증권,2022-01-25
금융,5대은행 정기예금 3.6조 급증...금리 올리자 '머니무브' 가속화,은경완,메리츠증권,2022-01-25
건설,아파트값 양극화 심화 가속...이달 고가-저가 격차 또 역대 최대,박형렬,메리츠증권,2022-01-25
자동차,"찬밥 기아', 맹활약에도...현대차그룹 반도체 후순위로 밀렸다",김준성,메리츠증권,2022-01-25
음식료,(가격인상) 파리바게뜨 아메리카노 가격 400원 인상,김정욱,메리츠증권,2022-01-25
운송,"'코로나 운항제한' 미-중 힘겨루기...미, 중국 항공편 44편 맞불제재",배기연,메리츠증권,2022-01-25
증권,LNG Update,유승우,SK증권,2022-01-24
철강금속,SK 화학/철강 금요차트,박한샘,SK증권,2022-01-24
엔터테인먼트,콘텐츠 산업 내 높아지는 ESG 경영에 대한 관심,남효지,SK증권,2022-01-24
석유화학,트위터에서 NFT 프로필 지정 가능해진다,박한샘,SK증권,2022-01-24
철강금속,니켈을 중심으로 비철가격 초강세,이종형,키움증권,2022-01-24
자동차,"GM/LG엔솔, 7.7兆 투자해 美 배터리 공장 2곳 설립",김준성,메리츠증권,2022-01-24
통신,"美서 더 빠른 '중대역 5G' 개통...최대 다운로드 속도, LTE 10배",정지수,메리츠증권,2022-01-24
금융,"5대 은행, 연초 신용대출 6조원 급증... ‘LG엔솔 청약 영향’",은경완,메리츠증권,2022-01-24
기타,걱정이 많아지는 레저,이효진,메리츠증권,2022-01-24
운송,티웨이항공 여객기 도입 속도,배기연,메리츠증권,2022-01-24
음식료,"(파업) CJ택배노조 파업 3주째, 외식업계 식자재 조달 차질",김정욱,메리츠증권,2022-01-24
음식료,(물가) 작년 국재 원자재 수입물가 전년비 +42.3% 기록,김정욱,메리츠증권,2022-01-24
자동차,2022년 유럽 전기차 시장과 보조금 정책 변화,윤혁진,SK증권,2022-01-21
자동차,"부족한 전기차 충전 인프라, 전기차 보급에 제동건다",정규진,SK증권,2022-01-21
자동차,"현대차, 인도네시아 전기차 '1위'...점유율 87.3% '장악'",김준성,메리츠증권,2022-01-21
음식료,(롯데제과) 러시아 현지 법인 약 340억원 투자,김정욱,메리츠증권,2022-01-21
운송,한국-싱가포르 무격리 관광교류 조만간 재개 ‘파란불’,배기연,메리츠증권,2022-01-21
금융,은행 이자폭리 논란 여전... 뛰는 예적금 위에 나는 대출금리,은경완,메리츠증권,2022-01-21
건설,"서울시 ""서울의료원 부지 3000가구 공급 불가…재검토할 것""",박형렬,메리츠증권,2022-01-21
자동차,"현대차, 양자컴퓨터 활용한 차세대 배터리 개발 나섰다",김준성,메리츠증권,2022-01-20
운송,"인도네시아, 이번엔 팜유 수출도 규제...허가제로 통제 강화",배기연,메리츠증권,2022-01-20
음식료,"(거리두기) 코로나 백신 이후 이상증상으로 입원치료 받은 경우, 방역패스 예외대상자 인정",김정욱,메리츠증권,2022-01-20
건설,중대재해법에 건설안전법까지...건설사 초비상,박형렬,메리츠증권,2022-01-20
금융,"10년동안 나눠갚는 은행 신용대출 나온다...""빠르면 1분기""",은경완,메리츠증권,2022-01-20
기타,"빅테크 이어 유통업체, NFT 시장 진출 속도낸다",정규진,SK증권,2022-01-19
게임,게임 정책에 대한 대선 후보 공약 살펴보기,이소중,SK증권,2022-01-19
금융,구조조정 2단계에 진입한 주택시장,서영수,키움증권,2022-01-19
건설,"노형욱 장관 ""건설안전특별법 제정 시급"" 거듭 강조",박형렬,메리츠증권,2022-01-19
운송,"이스타항공, AOC 국토부 가인가받아",배기연,메리츠증권,2022-01-19
금융,"은행권, 불붙는 기업금융 경쟁... “가계대출 제한 돌파구 찾아라”",은경완,메리츠증권,2022-01-19
음식료,"(파업) CJ택배노조 파업 3주째, 외식업계 식자재 조달 차질",김정욱,메리츠증권,2022-01-19
기타,"관련 뉴스 요약 “디즈니, 지식재산권 업고 메타버스 항해”",정규진,SK증권,2022-01-18
반도체,환경을 위한 반도체 공정 내 노력과 결실들,한동희,SK증권,2022-01-18
제약,2021 년 4 분기 제약/바이오 업체들의 비용집행이 예상,이달미,SK증권,2022-01-18
금융,주담대 금리 또 오른다...코픽스 한달 새 0.14%포인트 상승,은경완,메리츠증권,2022-01-18
건설,"노형욱 국토부 장관 “잇단 붕괴사고 낸 현산, 강력 처벌 불가피”",박형렬,메리츠증권,2022-01-18
자동차,현대차그룹 '커넥티드카' 3종류 통합 추진,김준성,메리츠증권,2022-01-18
음식료,"(롯데제과) 월드콘, 설레임 권장소비자가격 조정, 가격정찰제 일환",김정욱,키움증권,2022-01-18
운송,"한국조선해양, 5,110억원규모 선박 5척 계약",배기연,메리츠증권,2022-01-18
자동차,4Q21 Preview: 고난의 끝이 보인다,김민선,키움증권,2022-01-14
전기전자,2022년 미국 전기차 시장과 보조금 정책 변화,윤혁진,SK증권,2022-01-14
철강금속,SK화학/철강 금요차트,권순우,SK증권,2022-01-14
자동차,"제네시스, 작년 글로벌 '20만대' 돌파...올해도 성장 기대감↑",김준성,메리츠증권,2022-01-14
건설,재개발 어려운 저층주거지 ‘모아주택 모델’로 3만호 공급,박형렬,메리츠증권,2022-01-14
금융,대출 규제/금리 인상에...은행 가계대출 2000억 감소,은경완,메리츠증권,2022-01-14
운송,"대한항공, 300억엔 사무라이 본드 수요예측",배기연,메리츠증권,2022-01-14
음식료,(풀무원) 중국 식물성 대체육 브랜드 싱치링과 위탁 판매 계약 체결,김정욱,메리츠증권,2022-01-14
기타,BBB(미국 재건 정책안) 논의는 현재진행형,박찬솔,SK증권,2022-01-13
자동차,"급성장한 온라인 중고차 거래 시장, 완성차 업체도 진출한다",정규진,SK증권,2022-01-13
전기전자,4분기 실적 점검 및 1분기 투자전략,김지산,키움증권,2022-01-13
운송,"인도네시아, '석탄 수출' 점진적 재개 결정...""선박 37척 출항""",배기연,메리츠증권,2022-01-13
음식료,"(빙과) 해태, 빙그레 아이스크림 가격 인상 검토 중",김정욱,메리츠증권,2022-01-13
자동차,"모셔널 CEO ""자율주행 시장 규모 키워야...현대차와 협력 이유""",김준성,메리츠증권,2022-01-13
건설,이대론 성공 못한다...서울시 '토지임대부' 규제 완화 검토,박형렬,메리츠증권,2022-01-13
금융,내일 새해 첫 한은 금통위 열린다... 기준금리 향방에 쏠리는 '눈',은경완,메리츠증권,2022-01-13
기타,"비대면 업무 환경 보편화, 협업툴 시장 성장 기대된다",정규진,SK증권,2022-01-12
운송,"대우조선해양, 6천500억원 규모 해양플랜트 수주 성공",배기연,메리츠증권,2022-01-12
음식료,"(치킨) 치킨 프랜차이즈 업계 빅3 인수합병(M&A),",김정욱,메리츠증권,2022-01-12
인터넷포탈,실적도 거리두기,김동희,메리츠증권,2022-01-12
자동차,"현대차그룹이 투자한 앱티브社, 소프트웨어업체 윈드 리버 5조원에 인수",김준성,메리츠증권,2022-01-12
건설,"지난해 광풍 불었던 수도권 오피스텔, 매매가격 상승률도 ‘역대 최고’",박형렬,메리츠증권,2022-01-12
금융,"KB금융, 시총 13위 오르며 ‘금융 대장주’ 탈환",은경완,메리츠증권,2022-01-12
음식료,(주류) 주류세 인상에 따른 주류 출고가 인상 고려,김정욱,메리츠증권,2022-01-11
자동차,"보스턴다이내믹스 물류로봇, 내년께 대량 상용화",김준성,메리츠증권,2022-01-11
건설,"""재건축 대못"" 안전진단 '구조안전성' 비율 확 낮춘다",박형렬,메리츠증권,2022-01-11
금융,모든 게 불안하다...은행에 뭉칫돈 더 몰린다,은경완,메리츠증권,2022-01-11
운송,"항공업계, 포스트 코로나 대비...올해만 16대 기재 도입",배기연,메리츠증권,2022-01-11
음식료,(롯데칠성) ‘처음처럼’ 모델 제니와 함께한 새 광고 공개,김정욱,메리츠증권,2022-01-10
자동차,반도체 수급난 장기화로 전전긍긍하는 완성차업계,김준성,메리츠증권,2022-01-10
통신,美 통신사들 결국 5G서비스 출시 연기,정지수,메리츠증권,2022-01-10
음식료,(우유) 정부 원유 용도별 차등 가격제 도입 추진,김정욱,메리츠증권,2022-01-10
운송,"CJ대한통운 파업 해결될까, 국토부 ""택배업체 불시점검""",배기연,메리츠증권,2022-01-10
금융,4Q21 Preview: Earnings Smoothing,은경완,메리츠증권,2022-01-10
건설,"이재명 ""분양가 상한제 민간도입-공공주택 다양한 공급""",박형렬,메리츠증권,2022-01-10
바이오,기존 오너경영에서 전문경영인 체제로 변화하는 제약/바이오 기업들,이달미,SK증권,2022-01-07
자동차,2022년 중국 전기차 시장과 보조금 정책 변화,윤혁진,SK증권,2022-01-07
기타,"개발자 늘어난 가상자산 업계, 안정적 성장 기대된다",정규진,SK증권,2022-01-07
건설,이재명표 택지공급 공약 이달 중순 나온다...육사부지/김포공항 급부상,박형렬,메리츠증권,2022-01-07
금융,새해 첫 기준금리 수위 가늠할 이정표 금통위 의사록 공개,은경완,메리츠증권,2022-01-07
운송,"대우조선해양, 5,021억원 규모 LNG운반선 2척 수주",배기연,메리츠증권,2022-01-07
음식료,(스타벅스) 최근 아메리카노 가격 인상 적극적으로 검토 중,김정욱,메리츠증권,2022-01-07
