stock_name,2014,2015,2016,2017,2018,2019,2020,2021,2022
HLB생명과학,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLB이노베이션,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLB제약,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HLB테라퓨틱스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HL만도,2000.0,4800.0,5000.0,1000.0,500.0,550.0,0.0,800.0,500.0
HL홀딩스,500.0,1200.0,1250.0,1350.0,2000.0,2000.0,2000.0,2000.0,2000.0
HMM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,1200.0
HPSP,,,,,,,48300.0,0.0,150.0
HRS,80.0,30.0,80.0,80.0,30.0,0.0,150.0,200.0,200.0
HSD엔진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IHQ,,,,,,,,,
ISC,500.0,250.0,170.0,350.0,150.0,50.0,150.0,200.0,600.0
ITX-AI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JB금융지주,100.0,50.0,50.0,100.0,180.0,300.0,374.0,599.0,835.0
JTC,,,,602.0,201.0,65.0,32.0,0.0,0.0
JW생명과학,771.0,808.0,600.0,1000.0,500.0,500.0,500.0,500.0,500.0
JW신약,30.0,50.0,60.0,60.0,60.0,60.0,0.0,0.0,0.0
JW중외제약,125.0,150.0,250.0,275.0,325.0,325.0,325.0,325.0,375.0
JW홀딩스,25.0,45.0,75.0,75.0,85.0,90.0,90.0,90.0,100.0
KBG,,,,14.0,14.0,50.0,75.0,100.0,134.0
KBI메탈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KB금융,780.0,980.0,1250.0,1920.0,1920.0,2210.0,1770.0,2940.0,2950.0
KB스타리츠,,,,,,,,,
KB오토시스,180.0,200.0,300.0,250.0,280.0,230.0,170.0,120.0,150.0
KCC,,,,,,,,,
KCC건설,250.0,0.0,100.0,130.0,130.0,150.0,180.0,180.0,150.0
KCC글라스,,,,,,,,,
KCI,90.0,130.0,180.0,180.0,180.0,200.0,200.0,200.0,250.0
KCTC,,,,,,,,,
KC그린홀딩스,50.0,80.0,100.0,110.0,80.0,60.0,40.0,70.0,50.0
KC코트렐,0.0,0.0,40.0,100.0,80.0,30.0,0.0,0.0,0.0
KD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KEC,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,60.0
KG ETS,100.0,100.0,100.0,100.0,100.0,110.0,110.0,120.0,150.0
KG모빌리언스,150.0,150.0,200.0,200.0,200.0,200.0,220.0,220.0,220.0
KG모빌리티,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KG스틸,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,150.0
KG이니시스,200.0,200.0,250.0,250.0,300.0,330.0,350.0,400.0,400.0
KG케미칼,350.0,350.0,350.0,350.0,350.0,350.0,400.0,500.0,500.0
KH 건설,0.0,0.0,0.0,80.0,60.0,0.0,0.0,0.0,0.0
KH 전자,300.0,500.0,400.0,250.0,0.0,0.0,0.0,0.0,0.0
KH 필룩스,40.0,0.0,78.0,50.0,0.0,0.0,0.0,0.0,0.0
KH바텍,500.0,300.0,50.0,0.0,0.0,0.0,0.0,300.0,300.0
KISCO홀딩스,900.0,900.0,900.0,250.0,280.0,280.0,300.0,400.0,600.0
KNN,25.0,25.0,20.0,25.0,25.0,20.0,15.0,20.0,20.0
KPX생명과학,0.0,0.0,0.0,234.0,0.0,0.0,0.0,0.0,0.0
KPX케미칼,1750.0,1750.0,2000.0,2000.0,2000.0,2500.0,2750.0,2750.0,2750.0
KPX홀딩스,2100.0,2100.0,2100.0,3850.0,2600.0,2600.0,3100.0,3000.0,3000.0
KR모터스,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KSS해운,200.0,260.0,170.0,230.0,230.0,270.0,300.0,350.0,350.0
KT,,,,,,,,,
KT&G,,,,,,,,,
KTcs,120.0,100.0,80.0,80.0,90.0,80.0,80.0,100.0,120.0
KTis,120.0,100.0,80.0,80.0,80.0,90.0,80.0,100.0,120.0
KT서브마린,120.0,50.0,50.0,50.0,30.0,30.0,30.0,30.0,30.0
KX,0.0,0.0,0.0,0.0,120.0,70.0,0.0,0.0,167.0
KX하이텍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LB루셈,,,,,,,0.0,0.0,0.0
LB세미콘,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0
LB인베스트먼트,,,,,,,0.0,0.0,0.0
LF,500.0,500.0,500.0,500.0,500.0,500.0,500.0,600.0,700.0
LG,1000.0,1300.0,1300.0,1300.0,2000.0,2200.0,2500.0,2800.0,3000.0
LG디스플레이,500.0,500.0,500.0,500.0,0.0,0.0,0.0,650.0,0.0
LG생활건강,4000.0,5500.0,7500.0,9000.0,9250.0,11000.0,11000.0,12000.0,4000.0
LG에너지솔루션,,,,,,,0.0,0.0,0.0
LG유플러스,150.0,250.0,350.0,400.0,400.0,400.0,450.0,550.0,650.0
LG이노텍,250.0,350.0,250.0,250.0,300.0,300.0,700.0,3000.0,4150.0
LG전자,400.0,400.0,400.0,400.0,750.0,750.0,1200.0,850.0,700.0
LG헬로비전,75.0,75.0,75.0,75.0,75.0,75.0,75.0,110.0,120.0
LG화학,4000.0,4500.0,5000.0,6000.0,6000.0,2000.0,10000.0,12000.0,10000.0
